,Mnemonic,bitpat,FORMAT,FORMAT_OLD,SRC1,SRC2,SRC3,SRC4,SRC5,DEST1,DEST2,DEST3,DEST4,DEST5,Special Behavior,"Context 
Synchronizing?",BOOK,PAGE,Versions,Priveledge,Mode Dep,Name,Unsure,"Doable but
Laborious",MicroWatt Support,PythonWatt Support,MicroPython
127,xsnmaddqp[o],111111 ..... ..... ..... 01110 00100.,X94,X,VSR,VSR,VSR,FPSCR,MSR,VSR,FPSCR,FPSCR,,,,,I,616,v3.0,,,VSX Scalar Negative Multiply-Add Quad-Precision [with round to Odd],,,,,
128,xsnmsubqp[o],111111 ..... ..... ..... 01111 00100.,X94,X,VSR,VSR,VSR,FPSCR,MSR,VSR,FPSCR,FPSCR,,,,,I,625,v3.0,,,VSX Scalar Negative Multiply-Subtract Quad-Precision [with round to Odd],,,,,
129,stxsdx,011111 ..... ..... ..... 10110 01100.,X81,X,,VSR,GPR,GPR,MSR,,,,,,,,I,498,v2.06,,,Store VSX Scalar Doubleword Indexed,,,,,
130,stxsibx,011111 ..... ..... ..... 11100 01101.,X81,X,,VSR,GPR,GPR,MSR,,,,,,,,I,499,v3.0,,,Store VSX Scalar as Integer Byte Indexed,,,,,
131,stxsihx,011111 ..... ..... ..... 11101 01101.,X81,X,,VSR,GPR,GPR,MSR,,,,,,,,I,499,v3.0,,,Store VSX Scalar as Integer Halfword Indexed,,,,,
132,stxsiwx,011111 ..... ..... ..... 00100 01100.,X81,X,,VSR,GPR,GPR,MSR,,,,,,,,I,500,v2.07,,,Store VSX Scalar as Integer Word Indexed,,,,,
133,stxsspx,011111 ..... ..... ..... 10100 01100.,X81,X,,VSR,GPR,GPR,MSR,,,,,,,,I,502,v2.07,,,Store VSX Scalar Single-Precision Indexed,,,,,
134,stxvb16x,011111 ..... ..... ..... 11111 01100.,X81,X,,VSR,GPR,GPR,MSR,,,,,,,,I,503,v3.0,,,Store VSX Vector Byte*16 Indexed,,,,,
135,stxvd2x,011111 ..... ..... ..... 11110 01100.,X81,X,,VSR,GPR,GPR,MSR,,,,,,,,I,504,v2.06,,,Store VSX Vector Doubleword*2 Indexed,,,,,
136,stxvh8x,011111 ..... ..... ..... 11101 01100.,X81,X,,VSR,GPR,GPR,MSR,,,,,,,,I,505,v3.0,,,Store VSX Vector Halfword*8 Indexed,,,,,
137,stxvl,011111 ..... ..... ..... 01100 01101.,X81,X,,VSR,GPR,GPR,MSR,,,,,,,,I,507,v3.0,,,Store VSX Vector with Length,,,,,
138,stxvll,011111 ..... ..... ..... 01101 01101.,X81,X,,VSR,GPR,GPR,MSR,,,,,,,,I,509,v3.0,,,Store VSX Vector Left-justified with Length,X,,,,
139,stxvw4x,011111 ..... ..... ..... 11100 01100.,X81,X,,VSR,GPR,GPR,MSR,,,,,,,,I,506,v2.06,,,Store VSX Vector Word*4 Indexed,X,,,,
140,stxvx,011111 ..... ..... ..... 01100 01100.,X81,X,,VSR,GPR,GPR,MSR,,,,,,,,I,510,v3.0,,,Store VSX Vector Indexed,,,,,
141,vaddecuq,000100 ..... ..... ..... ..... 111101,VA3,VA,VR,VR,VR,,MSR,VR,,,,,,,I,273,v2.07,,,Vector Add Extended & write Carry Unsigned Quadword,,,,,
142,vaddeuqm,000100 ..... ..... ..... ..... 111100,VA3,VA,VR,VR,VR,,MSR,VR,,,,,,,I,273,v2.07,,,Vector Add Extended Unsigned Quadword Modulo,,,,,
143,vperm,000100 ..... ..... ..... ..... 101011,VA3,VA,VR,VR,VR,,MSR,VR,,,,,,,I,260,v2.03,,,Vector Permute,,,,,
144,vpermr,000100 ..... ..... ..... ..... 111011,VA3,VA,VR,VR,VR,,MSR,VR,,,,,,,I,260,v3.0,,,Vector Permute Right-indexed,,,,,
145,vsel,000100 ..... ..... ..... ..... 101010,VA3,VA,VR,VR,VR,,MSR,VR,,,,,,,I,261,v2.03,,,Vector Select,,,,,
146,vsubecuq,000100 ..... ..... ..... ..... 111111,VA3,VA,VR,VR,VR,,MSR,VR,,,,,,,I,279,v2.07,,,Vector Subtract Extended & write Carry Unsigned Quadword,,,,,
147,vsubeuqm,000100 ..... ..... ..... ..... 111110,VA3,VA,VR,VR,VR,,MSR,VR,,,,,,,I,279,v2.07,,,Vector Subtract Extended Unsigned Quadword Modulo,,,,,
148,xxperm,111100 ..... ..... ..... 00011 010...,XX3_5,XX3,VSR,VSR,VSR,,MSR,VSR,,,,,,,I,772,v3.0,,,VSX Vector Permute,,,,,
149,xxpermr,111100 ..... ..... ..... 00111 010...,XX3_5,XX3,VSR,VSR,VSR,,MSR,VSR,,,,,,,I,772,v3.0,,,VSX Vector Permute Right-indexed,,,,,
150,xxsel,111100 ..... ..... ..... ..... 11....,XX4_1,XX4,VSR,VSR,VSR,,MSR,VSR,,,,,,,I,773,v2.06,,,VSX Vector Select,,,,,
151,stbcx.,011111 ..... ..... ..... 10101 101101,X67,X,,GPR,GPR,GPR,XER,CR,,,,,,,II,866,v2.06,,,Store Byte Conditional Indexed & record,X,,Y,,
152,stdcx.,011111 ..... ..... ..... 00110 101101,X67,X,,GPR,GPR,GPR,XER,CR,,,,,,,II,869,PPC,,,Store Doubleword Conditional Indexed & record,X,,Y,,
153,sthcx.,011111 ..... ..... ..... 10110 101101,X67,X,,GPR,GPR,GPR,XER,CR,,,,,,,II,867,v2.06,,,Store Halfword Conditional Indexed & record,X,,Y,,
154,stswx,011111 ..... ..... ..... 10100 10101/,X66,X,,,GPR,GPR,XER,,,,,,,,I,65,P1,,,Store String Word Indexed,,,,,
155,stwcx.,011111 ..... ..... ..... 00100 101101,X67,X,,GPR,GPR,GPR,XER,CR,,,,,,,II,868,PPC,,,Store Word Conditional Indexed & record,X,,Y,,
156,add[o][.],011111 ..... ..... ..... .1000 01010.,XO4,XO,,,GPR,GPR,,GPR,CR0,XER,,,,,I,69,P1,,SR,Add,,,Y,,Y
157,addc[o][.],011111 ..... ..... ..... .0000 01010.,XO4,XO,,,GPR,GPR,,GPR,XER,XER,,,,,I,70,P1,,SR,Add Carrying,,,Y,,Y
158,adde[o][.],011111 ..... ..... ..... .0100 01010.,XO4,XO,,,GPR,GPR,XER,GPR,XER,XER,,,,,I,71,P1,,SR,Add Extended,,,Y,,Y
159,addex,011111 ..... ..... ..... ..101 01010/,NONE,X,,,GPR,GPR,XER,GPR,XER,,,,,,I,72,v3.0B,,,Add Extended using alternate carry,,,,,
160,addg6s,011111 ..... ..... ..... /0010 01010/,XO2,XO,,,GPR,GPR,,GPR,,,,,,,I,111,v2.06,,,Add & Generate Sixes,,,,,
161,addi,001110 ..... ..... ..... ..... ......,D8,D,,,,GPR,,GPR,,,,,,,I,67,P1,,,Add Immediate,,,Y,,Y
162,addic,001100 ..... ..... ..... ..... ......,D8,D,,,,GPR,,GPR,XER,,,,,,I,69,P1,,SR,Add Immediate Carrying,,,Y,,Y
163,addic.,001101 ..... ..... ..... ..... ......,D8,D,,,,GPR,,GPR,CR0,XER,,,,,I,69,P1,,SR,Add Immediate Carrying & record,,,Y,,Y
164,addis,001111 ..... ..... ..... ..... ......,D8,D,,,,GPR,,GPR,,,,,,,I,67,P1,,,Add Immediate Shifted,,,Y,,Y
165,addme[o][.],011111 ..... ..... ///// .0111 01010.,XO1,XO,,,,GPR,XER,GPR,XER,CR0,,,,,I,71,P1,,SR,Add to Minus One Extended,,,Y,,
166,addpcis,010011 ..... ..... ..... ..... 00010.,DX1,DX,,,,,NIA,GPR,,,,,,,I,68,v3.0,,,Add PC Immediate Shifted,,,Y,,
167,addze[o][.],011111 ..... ..... ///// .0110 01010.,XO1,XO,,,,GPR,XER,GPR,XER,CR0,,,,,I,72,P1,,SR,Add to Zero Extended,,,Y,,Y
168,and[.],011111 ..... ..... ..... 00000 11100.,X68,X,,,GPR,GPR,,GPR,CR0,,,,,,I,94,P1,,SR,AND,,,Y,,Y
169,andc[.],011111 ..... ..... ..... 00001 11100.,X68,X,,,GPR,GPR,,GPR,CR0,,,,,,I,95,P1,,SR,AND with Complement,,,Y,,Y
170,andi.,011100 ..... ..... ..... ..... ......,D6,D,,,,GPR,,GPR,CR0,,,,,,I,92,P1,,SR,AND Immediate & record,,,Y,,Y
171,andis.,011101 ..... ..... ..... ..... ......,D6,D,,,,GPR,,GPR,CR0,,,,,,I,92,P1,,SR,AND Immediate Shifted & record,,,Y,,
172,b[l][a],010010 ..... ..... ..... ..... ......,I1,I,,,,,,NIA,LR,,,,,,I,37,P1,,,Branch [& Link] [Absolute],,,Y,,Y
173,bc[l][a],010000 ..... ..... ..... ..... ......,I1,B,,,CR,,,NIA,LR,SPR,,,,,I,37,P1,,CT,Branch Conditional [& Link] [Absolute],,,Y,,Y
174,bcctr[l],010011 ..... ..... ///.. 10000 10000.,XL4,XL,,,CR,,SPR,NIA,LR,,,,,,I,38,P1,,CT,Branch Conditional to CTR [& Link],,,Y,,Y
175,bcdadd.,000100 ..... ..... ..... 1.000 000001,VX16,VX,,VR,VR,,MSR,VR,CR,,,,,,I,348,v2.07,,,Decimal Add Modulo & record,,,,,
176,bcdcfn.,000100 ..... 00111 ..... 1.110 000001,VX9,VX,,,VR,,MSR,VR,CR,,,,,,I,350,v3.0,,,Decimal Convert From National & record,,,,,
177,bcdcfsq.,000100 ..... 00010 ..... 1.110 000001,VX9,VX,,,VR,,MSR,VR,CR,,,,,,I,354,v3.0,,,Decimal Convert From Signed Quadword & record,,,,,
178,bcdcfz.,000100 ..... 00110 ..... 1.110 000001,VX9,VX,,,VR,,MSR,VR,CR,,,,,,I,351,v3.0,,,Decimal Convert From Zoned & record,,,,,
179,bcdcpsgn.,000100 ..... ..... ..... 01101 000001,VX17,VX,,VR,VR,,MSR,VR,CR,,,,,,I,356,v3.0,,,Decimal CopySign & record,,,,,
180,bcdctn.,000100 ..... 00101 ..... 1/110 000001,VX8,VX,,,VR,,MSR,VR,CR,,,,,,I,352,v3.0,,,Decimal Convert To National & record,,,,,
181,bcdctsq.,000100 ..... 00000 ..... 1/110 000001,VX8,VX,,,VR,,MSR,VR,CR,,,,,,I,354,v3.0,,,Decimal Convert To Signed Quadword & record,,,,,
182,bcdctz.,000100 ..... 00100 ..... 1.110 000001,VX9,VX,,,VR,,MSR,VR,CR,,,,,,I,353,v3.0,,,Decimal Convert To Zoned & record,,,,,
183,bcds.,000100 ..... ..... ..... 1.011 000001,VX16,VX,,VR,VR,,MSR,VR,CR,,,,,,I,357,v3.0,,,Decimal Shift & record,,,,,
184,bcdsetsgn.,000100 ..... 11111 ..... 1.110 000001,VX9,VX,,,VR,,MSR,VR,CR,,,,,,I,356,v3.0,,,Decimal Set Sign & record,,,,,
185,bcdsr.,000100 ..... ..... ..... 1.111 000001,VX16,VX,,VR,VR,,MSR,VR,CR,,,,,,I,359,v3.0,,,Decimal Shift & Round & record,,,,,
186,bcdsub.,000100 ..... ..... ..... 1.001 000001,VX16,VX,,VR,VR,,MSR,VR,CR,,,,,,I,348,v2.07,,,Decimal Subtract Modulo & record,,,,,
187,bcdtrunc.,000100 ..... ..... ..... 1.100 000001,VX16,VX,,VR,VR,,MSR,VR,CR,,,,,,I,360,v3.0,,,Decimal Truncate & record,,,,,
188,bcdus.,000100 ..... ..... ..... 1/010 000001,VX15,VX,,VR,VR,,MSR,VR,CR,,,,,,I,358,v3.0,,,Decimal Unsigned Shift & record,,,,,
189,bcdutrunc.,000100 ..... ..... ..... 1/101 000001,VX15,VX,,VR,VR,,MSR,VR,CR,,,,,,I,361,v3.0,,,Decimal Unsigned Truncate & record,,,,,
190,bclr[l],010011 ..... ..... ///.. 00000 10000.,XL4,XL,,,CR,,LR,NIA,LR,SPR,,,,,I,38,P1,,CT,Branch Conditional to LR [& Link],,,Y,,Y
191,bctar[l],010011 ..... ..... ///.. 10001 10000.,XL4,XL,,,CR,,SPR,NIA,LR,SPR,,,,,I,39,v2.07,,,Branch Conditional to BTAR [& Link],,,Y,,Y
192,bpermd,011111 ..... ..... ..... 00111 11100/,X66,X,,,GPR,GPR,,GPR,,,,,,,I,100,v2.06,,,Bit Permute Doubleword,,,,,
193,cbcdtd,011111 ..... ..... ///// 01001 11010/,X60,X,,,,GPR,,GPR,,,,,,,I,111,v2.06,,,Convert Binary Coded Decimal To Declets,,,,,
194,cdtbcd,011111 ..... ..... ///// 01000 11010/,X60,X,,,,GPR,,GPR,,,,,,,I,111,v2.06,,,Convert Declets To Binary Coded Decimal,,,,,
195,clrbhrb,011111 ///// ///// ///// 01101 01110/,X1,X,,,,,,BHRB,,,,,,,I,909,v2.07,,,Clear BHRB,,,,,
196,cmp,011111 .../. ..... ..... 00000 00000/,X30,X,,,GPR,GPR,XER,CR,,,,,,,I,85,P1,,,Compare,,,Y,Y,Y
197,cmpb,011111 ..... ..... ..... 01111 11100/,X66,X,,,GPR,GPR,,GPR,,,,,,,I,97,v2.05,,,Compare Byte,,,Y,,
198,cmpeqb,011111 ...// ..... ..... 00111 00000/,X25,X,,,GPR,GPR,,CR,,,,,,,I,88,v3.0,,,Compare Equal Byte,,,,,
199,cmpi,001011 .../. ..... ..... ..... ......,D1,D,,,,GPR,XER,CR,,,,,,,I,85,P1,,,Compare Immediate,,,Y,,Y
200,cmpl,011111 .../. ..... ..... 00001 00000/,X30,X,,,GPR,GPR,XER,CR,,,,,,,I,86,P1,,,Compare Logical,,,Y,Y,Y
201,cmpli,001010 .../. ..... ..... ..... ......,D2,D,,,,GPR,XER,CR,,,,,,,I,86,P1,,,Compare Logical Immediate,,,Y,,Y
202,cmprb,011111 .../. ..... ..... 00110 00000/,X30,X,,,GPR,GPR,,CR,,,,,,,I,87,v3.0,,,Compare Ranged Byte,,,,,
203,cntlzd[.],011111 ..... ..... ///// 00001 11010.,X62,X,,,,GPR,,GPR,CR0,,,,,,I,99,PPC,,SR,Count Leading Zeros Doubleword,,,Y,,Y
204,cntlzw[.],011111 ..... ..... ///// 00000 11010.,X62,X,,,,GPR,,GPR,CR0,,,,,,I,96,P1,,SR,Count Leading Zeros Word,,,Y,,Y
205,cnttzd[.],011111 ..... ..... ///// 10001 11010.,X62,X,,,,GPR,,GPR,CR0,,,,,,I,99,v3.0,,,Count Trailing Zeros Doubleword,,,Y,,
206,cnttzw[.],011111 ..... ..... ///// 10000 11010.,X62,X,,,,GPR,,GPR,CR0,,,,,,I,96,v3.0,,,Count Trailing Zeros Word,,,Y,,
207,copy,011111 ////. ..... ..... 11000 00110/,X6,X,,,GPR,GPR,,,,,,,,,II,855,v3.0,,,Copy,,,,,
208,cpabort,011111 ///// ///// ///// 11010 00110/,X1,X,,,,,,,,,,,,,II,856,v3.0,,,CP_Abort,,,,,
209,crand,010011 ..... ..... ..... 01000 00001/,XL5,XL,,,CR,,,CR,,,,,,,I,40,P1,,,CR AND,,,Y,Y,
210,crandc,010011 ..... ..... ..... 00100 00001/,XL5,XL,,,CR,,,CR,,,,,,,I,41,P1,,,CR AND with Complement,,,Y,Y,
211,creqv,010011 ..... ..... ..... 01001 00001/,XL5,XL,,,CR,,,CR,,,,,,,I,41,P1,,,CR Equivalent,,,Y,Y,
212,crnand,010011 ..... ..... ..... 00111 00001/,XL5,XL,,,CR,,,CR,,,,,,,I,40,P1,,,CR NAND,,,Y,Y,
213,crnor,010011 ..... ..... ..... 00001 00001/,XL5,XL,,,CR,,,CR,,,,,,,I,41,P1,,,CR NOR,,,Y,Y,
214,cror,010011 ..... ..... ..... 01110 00001/,XL5,XL,,,CR,,,CR,,,,,,,I,40,P1,,,CR OR,,,Y,Y,
215,crorc,010011 ..... ..... ..... 01101 00001/,XL5,XL,,,CR,,,CR,,,,,,,I,41,P1,,,CR OR with Complement,,,Y,Y,
216,crxor,010011 ..... ..... ..... 00110 00001/,XL5,XL,,,CR,,,CR,,,,,,,I,40,P1,,,CR XOR,,,Y,Y,
217,darn,011111 ..... ///.. ///// 10111 10011/,X73,X,,,,,,GPR,,,,,,,I,78,v3.0,,,Deliver A Random Number,,,,,
218,dcbf,011111 ///.. ..... ..... 00010 10110/,X10,X,,,GPR,GPR,,,,,,,,,II,852,PPC,,,Data Cache Block Flush,,,Y,,
219,dcbst,011111 ///// ..... ..... 00001 10110/,X6,X,,,GPR,GPR,,,,,,,,,II,851,PPC,,,Data Cache Block Store,,X,Y,,
220,dcbt,011111 ..... ..... ..... 01000 10110/,X85,X,,,GPR,GPR,,,,,,,,,II,849,PPC,,,Data Cache Block Touch,,X,Y,,
221,dcbtst,011111 ..... ..... ..... 00111 10110/,X85,X,,,GPR,GPR,,,,,,,,,II,850,PPC,,,Data Cache Block Touch for Store,,X,Y,,
222,dcbz,011111 ///// ..... ..... 11111 10110/,X6,X,,,GPR,GPR,,,,,,,,,II,851,P1,,,Data Cache Block Zero,,X,Y,,
223,dcmpo,111011 ...// ..... ..... 00100 00010/,X22,X,,,FPR,FPR,,CR,FPSCR,,,,,,I,199,v2.05,,,DFP Compare Ordered,,,,,
224,dcmpu,111011 ...// ..... ..... 10100 00010/,X22,X,,,FPR,FPR,,CR,FPSCR,FPSCR,,,,,I,198,v2.05,,,DFP Compare Unordered,,,,,
225,ddedpd[.],111011 ..... ../// ..... 01010 00010.,X47,X,,,,FPR,,FPR,CR1,,,,,,I,217,v2.05,,,DFP Decode DPD To BCD,,,,,
226,ddedpdq[.],111111 ..... ../// ..... 01010 00010.,X54,X,,,FPR,FPR,,FPR,FPR,CR1,,,,,I,217,v2.05,,,DFP Decode DPD To BCD Quad,,,,,
227,diex[.],111011 ..... ..... ..... 11011 00010.,X44,X,,,,,,,,,,,,,I,218,v2.05,,,DFP Insert Exponent,,,,,
228,diexq[.],111111 ..... ..... ..... 11011 00010.,X50,X,,FPR,FPR,FPR,,FPR,FPR,CR1,,,,,I,218,v2.05,,,DFP Insert Exponent Quad,,,,,
229,divd[o][.],011111 ..... ..... ..... .1111 01001.,XO4,XO,,,GPR,GPR,,GPR,CR0,XER,,,,,I,81,PPC,,SR,Divide Doubleword,,X,Y,,Y
230,divde[o][.],011111 ..... ..... ..... .1101 01001.,XO4,XO,,,GPR,GPR,,GPR,CR0,XER,,,,,I,82,v2.06,,SR,Divide Doubleword Extended,,X,Y,,Y
231,divdeu[o][.],011111 ..... ..... ..... .1100 01001.,XO4,XO,,,GPR,GPR,,GPR,CR0,XER,,,,,I,82,v2.06,,SR,Divide Doubleword Extended Unsigned,,X,Y,,
232,divdu[o][.],011111 ..... ..... ..... .1110 01001.,XO4,XO,,,GPR,GPR,,GPR,CR0,XER,,,,,I,81,PPC,,SR,Divide Doubleword Unsigned,,X,Y,,
233,divw[o][.],011111 ..... ..... ..... .1111 01011.,XO4,XO,,,GPR,GPR,,GPR,CR0,XER,,,,,I,74,PPC,,SR,Divide Word,,X,Y,,
234,divwe[o][.],011111 ..... ..... ..... .1101 01011.,XO4,XO,,,GPR,GPR,,GPR,CR0,XER,,,,,I,75,v2.06,,SR,Divide Word Extended,,X,Y,,
235,divweu[o][.],011111 ..... ..... ..... .1100 01011.,XO4,XO,,,GPR,GPR,,GPR,CR0,XER,,,,,I,75,v2.06,,SR,Divide Word Extended Unsigned,,X,Y,,
236,divwu[o][.],011111 ..... ..... ..... .1110 01011.,XO4,XO,,,GPR,GPR,,GPR,CR0,XER,,,,,I,74,PPC,,SR,Divide Word Unsigned,,X,Y,,Y
237,dscli[.],111011 ..... ..... ..... .0010 00010.,Z22_5,Z22,,,,FPR,,FPR,CR1,,,,,,I,220,v2.05,,,DFP Shift Significand Left Immediate,,,,,
238,dscliq[.],111111 ..... ..... ..... .0010 00010.,Z22_6,Z22,,,FPR,FPR,,FPR,FPR,CR1,,,,,I,220,v2.05,,,DFP Shift Significand Left Immediate Quad,,,,,
239,dscri[.],111011 ..... ..... ..... .0011 00010.,Z22_5,Z22,,,,FPR,,FPR,CR1,,,,,,I,220,v2.05,,,DFP Shift Significand Right Immediate,,,,,
240,dscriq[.],111111 ..... ..... ..... .0011 00010.,Z22_6,Z22,,,FPR,FPR,,FPR,FPR,CR1,,,,,I,220,v2.05,,,DFP Shift Significand Right Immediate Quad,,,,,
241,dtstdc,111011 ...// ..... ..... .0110 00010/,Z22_1,Z22,,,,FPR,,CR,FPSCR,,,,,,I,200,v2.05,,,DFP Test Data Class,,,,,
242,dtstdcq,111111 ...// ..... ..... .0110 00010/,Z22_3,Z22,,,FPR,FPR,,CR,FPSCR,,,,,,I,200,v2.05,,,DFP Test Data Class Quad,,,,,
243,dtstdg,111011 ...// ..... ..... .0111 00010/,Z22_2,Z22,,,,FPR,,CR,FPSCR,,,,,,I,200,v2.05,,,DFP Test Data Group,,,,,
244,dtstdgq,111111 ...// ..... ..... .0111 00010/,Z22_4,Z22,,,FPR,FPR,,CR,FPSCR,,,,,,I,200,v2.05,,,DFP Test Data Group Quad,,,,,
245,dtstex,111011 ...// ..... ..... 00101 00010/,X22,X,,,FPR,FPR,,CR,FPSCR,,,,,,I,201,v2.05,,,DFP Test Exponent,,,,,
246,dtstsf,111011 ...// ..... ..... 10101 00010/,X22,X,,,FPR,FPR,,CR,FPSCR,,,,,,I,202,v2.05,,,DFP Test Significance,,,,,
247,dtstsfi,111011 ...// ..... ..... 10101 00011/,X26,X,,,,FPR,,CR,FPSCR,,,,,,I,202,v3.0,,,DFP Test Significance Immediate,,,,,
248,dtstsfiq,111111 ...// ..... ..... 10101 00011/,X27,X,,,FPR,FPR,,CR,FPSCR,,,,,,I,202,v3.0,,,DFP Test Significance Immediate Quad,,,,,
249,dtstsfq,111111 ...// ..... ..... 10101 00010/,X23,X,,FPR,FPR,FPR,,CR,FPSCR,,,,,,I,202,v2.05,,,DFP Test Significance Quad,,,,,
250,dxex[.],111011 ..... ///// ..... 01011 00010.,X36,X,,,,FPR,,FPR,CR1,,,,,,I,218,v2.05,,,DFP Extract Exponent,,,,,
251,dxexq[.],111111 ..... ///// ..... 01011 00010.,X37,X,,,FPR,FPR,,FPR,CR1,,,,,,I,218,v2.05,,,DFP Extract Exponent Quad,,,,,
252,eieio,011111 ///// ///// ///// 11010 10110/,X1,X,,,,,,,,,,,,,II,875,PPC,,,Enforce In-order Execution of I/O,,,Y,,
253,eqv[.],011111 ..... ..... ..... 01000 11100.,X68,X,,,GPR,GPR,,GPR,CR0,,,,,,I,95,P1,,SR,Equivalent,,,Y,,
254,extsb[.],011111 ..... ..... ///// 11101 11010.,X62,X,,,,GPR,,GPR,CR0,,,,,,I,96,PPC,,SR,Extend Sign Byte,,,Y,,Y
255,extsh[.],011111 ..... ..... ///// 11100 11010.,X62,X,,,,GPR,,GPR,CR0,,,,,,I,96,P1,,SR,Extend Sign Halfword,,,Y,,
256,extsw[.],011111 ..... ..... ///// 11110 11010.,X62,X,,,,GPR,,GPR,CR0,,,,,,I,99,PPC,,SR,Extend Sign Word,,,Y,,Y
257,extswsli[.],011111 ..... ..... ..... 11011 1101..,XS1,XS,,,,GPR,,GPR,CR0,,,,,,I,110,v3.0,,,Extend Sign Word & Shift Left Immediate,,,Y,,
258,fabs[.],111111 ..... ///// ..... 01000 01000.,X36,X,,,,FPR,,FPR,CR1,,,,,,I,150,P1,,,Floating Absolute,,,,,
259,fcmpo,111111 ...// ..... ..... 00001 00000/,X22,X,,,FPR,FPR,,CR,FPSCR,,,,,,I,167,P1,,,Floating Compare Ordered,,,,,
260,fcmpu,111111 ...// ..... ..... 00000 00000/,X22,X,,,FPR,FPR,,CR,FPSCR,,,,,,I,167,P1,,,Floating Compare Unordered,,,,,
261,fcpsgn[.],111111 ..... ..... ..... 00000 01000.,X44,X,,,FPR,FPR,,FPR,CR1,,,,,,I,150,v2.05,,,Floating Copy Sign,,,,,
262,fmr[.],111111 ..... ///// ..... 00010 01000.,X36,X,,,,FPR,,FPR,CR1,,,,,,I,150,P1,,,Floating Move Register,,,,,
263,fmrgew,111111 ..... ..... ..... 11110 00110/,X43,X,,,FPR,FPR,MSR,FPR,,,,,,,I,151,v2.07,,,Floating Merge Even Word,,,,,
264,fmrgow,111111 ..... ..... ..... 11010 00110/,X43,X,,,FPR,FPR,MSR,FPR,,,,,,,I,151,v2.07,,,Floating Merge Odd Word,,,,,
265,fmuls[.],111011 ..... ..... ///// ..... 11001.,A2,A,,,,,,,,,,,,,I,153,PPC,,,Floating Multiply Single,,,,,
266,fnabs[.],111111 ..... ///// ..... 00100 01000.,X36,X,,,,FPR,,FPR,CR1,,,,,,I,150,P1,,,Floating Negative Absolute Value,,,,,
267,fneg[.],111111 ..... ///// ..... 00001 01000.,X36,X,,,,FPR,,FPR,CR1,,,,,,I,150,P1,,,Floating Negate,,,,,
268,fsel[.],111111 ..... ..... ..... ..... 10111.,A4,A,,FPR,FPR,FPR,,FPR,CR1,,,,,,I,168,PPC,,,Floating Select,,,,,
269,ftdiv,111111 ...// ..... ..... 00100 00000/,X22,X,,,FPR,FPR,,CR,,,,,,,I,156,v2.06,,,Floating Test for software Divide,,X,,,
270,ftsqrt,111111 ...// ///// ..... 00101 00000/,X19,X,,,,FPR,,CR,,,,,,,I,156,v2.06,,,Floating Test for software Square Root,,,,,
271,hrfid,010011 ///// ///// ///// 01000 10010/,XL1,XL,,,,SPR,MSR,MSR,NIA,,,,,,III,956,v2.02,HV,,Return From Interrupt Doubleword Hypervisor,,,,,
272,icbi,011111 ///// ..... ..... 11110 10110/,X6,X,,,GPR,GPR,,,,,,,,,II,840,PPC,,,Instruction Cache Block Invalidate,,X,,,
273,icbt,011111 /.... ..... ..... 00000 10110/,X15,X,,,GPR,GPR,,,,,,,,,II,840,v2.07,,,Instruction Cache Block Touch,,X,,,
274,isel,011111 ..... ..... ..... ..... 01111/,A5,A,,CR,GPR,GPR,,GPR,,,,,,,I,91,v2.03,,,Integer Select,,,,Y,
275,isync,010011 ///// ///// ///// 00100 10110/,XL1,XL,,,,,,,,,,,,Y,II,863,P1,,,Instruction Synchronize,,,Y,,
276,lbarx,011111 ..... ..... ..... 00001 10100.,X78,X,,,GPR,GPR,,GPR,,,,,,,II,864,v2.06,,,Load Byte And Reserve Indexed,X,,Y,,
277,lbz,100010 ..... ..... ..... ..... ......,D7,D,,,,GPR,,GPR,,,,,,,I,48,P1,,,Load Byte & Zero,,,Y,,Y
278,lbzcix,011111 ..... ..... ..... 11010 10101/,X77,X,,,GPR,GPR,,GPR,,,,,,,III,966,v2.05,HV,,Load Byte & Zero Caching Inhibited Indexed,X,,Y,,
279,lbzu,100011 ..... ..... ..... ..... ......,D7,D,,,,GPR,,GPR,GPR,,,,,,I,48,P1,,,Load Byte & Zero with Update,,,Y,,Y
280,lbzux,011111 ..... ..... ..... 00011 10111/,X77,X,,,GPR,GPR,,GPR,GPR,,,,,,I,48,P1,,,Load Byte & Zero with Update Indexed,,,Y,,
281,lbzx,011111 ..... ..... ..... 00010 10111/,X77,X,,,GPR,GPR,,GPR,,,,,,,I,48,P1,,,Load Byte & Zero Indexed,,,Y,,Y
282,ld,111010 ..... ..... ..... ..... ....00,DS5,DS,,,,GPR,,GPR,,,,,,,I,53,PPC,,,Load Doubleword,,,Y,,Y
283,ldarx,011111 ..... ..... ..... 00010 10100/,X78,X,,,GPR,GPR,,GPR,,,,,,,II,869,PPC,,,Load Doubleword And Reserve Indexed,X,,Y,,
284,ldat,011111 ..... ..... ..... 10011 00110/,X75,X,,,,GPR,,GPR,,,,,"function code field determines behavior, including source registers",,II,860,v3.0,,,Load Doubleword ATomic,X,,,,
285,ldbrx,011111 ..... ..... ..... 10000 10100/,X77,X,,,,GPR,,GPR,,,,,,,I,61,v2.06,,,Load Doubleword Byte-Reverse Indexed,X,,Y,,
286,ldcix,011111 ..... ..... ..... 11011 10101/,X77,X,,,GPR,GPR,,GPR,,,,,,,III,966,v2.05,HV,,Load Doubleword Caching Inhibited Indexed,X,,Y,,
